"id","tb_pts_contact_id","tb_type_qualificatif_id","permanence","num_tel_local","num_accueil","num_noir","email","website","horaire_accueil","horaire_tel_local"
45,401,3,1,"04 70 20 44 10",,,"adil03@orange.fr","www.adil03.org","Lundi - mardi - mercredi - jeudi de 9H à 12H et de 13H30 à 17H et vendredi de 13H30 à 16H30","Lundi - mardi - mercredi - jeudi de 9H à 12H et de 13H30 à 17H et vendredi de 13H30 à 16H30"
46,42,3,1,"04 73 42 30 75",,,"contact@adil63.org","www.adil63.org","Tous les jours (sauf lundi matin) de 8h30 à 12h et de 13h à 17h30","Tous les jours (sauf lundi matin) de 8h30 à 12h et de 13h à 17h30"
47,42,1,0,"04 73 42 30 76",,,"contact@adil63.org","http://www.adil63.org","Tous les jours (sauf lundi matin) de 8h30 à 12h et de 13h à 17h30","Tous les jours (sauf lundi matin) de 8h30 à 12h et de 13h à 17h30"
48,42,2,1,"04 73 42 30 75",,,"contact@adil63.org","www.adil63.org","Tous les jours (sauf lundi matin) de 8h30 à 12h et de 13h à 17h30","Tous les jours (sauf lundi matin) de 8h30 à 12h et de 13h à 17h30"
49,43,3,0,,,,,"www.allier.fr",,
50,43,2,0,"04 70 34 41 84",,,"PRIS03@cg03.fr","www.allier.fr","Lundi au vendredi de 9h00 à 12h30 et de 14h à 17h30","Lundi au vendredi de 9h00 à 12h30 et de 14h à 17h30"
51,44,2,0,"04 71 05 83 48",,,"ddt-anah@haute-loire.gouv.fr",,"Du lundi au vendredi de 8h30 à 11h30 et de 14h00 à 16h30","Du lundi au vendredi de 8h30 à 11h30 et de 13h30 à 16h30"
52,45,1,0,"04 71 07 41 78",,,"eie43@orange.fr","http://www.eie43.fr","Tous les jours de 9h à 12h et de 13h30 à 17h30","Tous les jours (sauf mercredi) de 9h à 12h et de 14h à 17h30 (sauf vendredi 17h)"
53,46,1,0,"04 70 28 77 46",,,"infoenergie.allier@wanadoo.fr","http://www.eie-pact03.fr","Tous les jours de 9h à 12h et de 13h30 à 17h","Du mardi au jeudi 9h à 12h et de 13h30 à 17h - Lundi et vendredi de 9h à 12h"
54,47,1,0,"04 71 48 88 14",,,"eie15@pact-habitat.org","www.info-energie-auvergne.org","Du lundi au jeudi de 8h à 12h et de 14h à 17h et le vendredi de 8h à 12h et de 14h à 16h","Tous les jours de 8h à 12h et de 14h à 17h (sauf vendredi à 16h)"
55,47,2,0,"04 71 48 32 00",,,"cantal@pact-habitat.org",,"Du lundi au jeudi de 8h à 12h et de 14h à 17h et le vendredi de 8h à 12h et de 14h à 16h","Du lundi au jeudi de 8h à 12h et de 14h à 17h et le vendredi de 8h à 12h et de 14h à 16h"
56,48,3,1,"02 33 32 94 76",,,"adil61@wanadoo.fr","www.adil.org/61","9h-12h / 14h- 18h","Du lundi au vendredi de 9h à 12h / 14h à 18h"
57,49,1,0,"02 31 34 24 88",,,"info@biomasse-normandie.org","http://www.biomasse-normandie.org","du lundi au vendredi 9h-12h/14h-17h30","du lundi au vendredi 9h-12h/14h-17h30"
58,50,1,0,"02 31 25 27 54",,,"cier.14@wanadoo.fr","http://www.cier14.org","du lundi au vendredi 9h30-12h30/13h30-17h30","du lundi au vendredi 9h30-12h30/13h30-17h30"
59,51,2,0,"02 33 32 50 00",,,"picanah@orne.gouv.fr",,"Du lundi au vendredi de 9h à 12h et de 13h30 à 17h.","Du lundi au vendredi de 9h à 12h et de 13h30 à 17h."
60,52,2,0,"02 33 06 39 00",,,"ddt-anah@manche.gouv.fr",,"Du lundi au vendredi de 14h à 16h30","Du lundi au vendredi de 14h à 16h30"
61,53,2,0,"02 31 43 16 13",,,"ddtm-anah@calvados.gouv.fr",,"Du lundi au vendredi de 9h à 11h45 sans rendez-vous, sur rendez-vous l'après midi.","Du lundi au vendredi de 8h45 à 16h"
62,54,1,0,"02 31 54 53 67",,,"grapeeie@yahoo.fr","http://www.grape-bassenormandie.fr","du lundi au vendredi 9h30-12h/13h30-17h","du lundi au vendredi 9h30-12h/13h30-17h"
63,55,1,0,"02 33 31 48 60",,,"eie61@hdgi.fr","http://www.habitatdeveloppement.fr","du lundi au vendredi 9h-12h/14h-17h","du lundi au vendredi 9h-12h/14h-17h"
64,56,1,0,"02 33 19 00 10",,,"info-energie@7vents.fr","http://www.7vents.fr","du lundi au vendredi 9h-12h30/14h-17h30","du lundi au vendredi 9h-12h30/14h-17h30"
65,57,3,1,"03 80 66 28 88",,,"adil.21@wanadoo.fr","www.adil21.org","Lundi 13h30-18h / Mardi au Jeudi 8h30 -12h et 13h30-18h / Vendredi 8h30-12h et 13h30-17h","Lundi au Jeudi 8h30-12h et 13h30-18h / Vendredi 8h30-12h et 13h30-17h"
66,57,2,1,"03 80 66 28 88",,,"adil.21@wanadoo.fr","www.adil21.org","Lundi 13h30-18h / Mardi au Jeudi 8h30 -12h et 13h30-18h / Vendredi 8h30-12h et 13h30-17h","Lundi au Jeudi 8h30-12h et 13h30-18h / Vendredi 8h30-12h et 13h30-17h"
67,58,3,1,"03 86 72 16 16",,,"contact@adil89.org","www.adil89.org","Lundi, mardi,  mercredi, jeudi: 9h - 12h et 14h – 17h30 / Vendredi : 9h - 12h","Lundi, mardi,  mercredi, jeudi: 9h - 12h et 14h – 17h30 / Vendredi : 9h - 12h"
68,58,1,0,"03 86 72 16 16",,,"infoenergie@adil89.org","http://www.adil89.org/","Lundi, mardi,  mercredi, jeudi: 9h - 12h et 14h – 17h30 / Vendredi : 9h - 12h","Lundi, mardi,  mercredi, jeudi: 9h - 12h et 14h – 17h30 / Vendredi : 9h - 12h"
69,58,2,1,"03 86 72 16 16",,,"contact@adil89.org","www.adil89.org","Lundi, mardi,  mercredi, jeudi: 9h - 12h et 14h – 17h30 / Vendredi : 9h - 12h","Lundi, mardi,  mercredi, jeudi: 9h - 12h et 14h – 17h30 / Vendredi : 9h - 12h"
70,59,3,1,"03 85 39 30 70",,,"adil71@adil71.org","www.adil71.org","Mardi, mercredi, jeudi, vendredi de 9h30 à12h et 13h30 à 18h","Mardi, mercredi, jeudi, vendredi de 9h30 à12h et 13h30 à 18h"
71,60,1,0,"03 86 38 22 20",,,"infoenergie@ale-nievre.org","http://www.ale-nievre.org","Mardi : 13h30 -17h30 - Mercredi : 9h - 12h30 - Jeudi : 13h - 17h","Mardi : 13h30 -17h30 - Mercredi : 9h - 12h30 - Jeudi : 13h - 17h"
72,61,1,0,"03 80 59 12 80",,,"infoenergie@ber.asso.fr","http://www.ber.asso.fr","Lundi : 14h -17h - Mardi, mercredi, jeudi : 9h30 - 12h30 et 14h - 17h - Vendredi : 9h30 - 12h30","Lundi : 14h -17h - Mardi, mercredi, jeudi : 9h30 - 12h30 et 14h - 17h - Vendredi : 9h30 - 12h30"
73,62,1,0,"03 85 69 05 26",,,"infoenergie@caue71.fr","http://www.caue71.fr/eie71.html","Lundi : 14h - 17h / Mardi, mercredi, jeudi : 9h30 - 12h30 et 14h - 17h / Vendredi : 9h30 - 12h30","Lundi : 14h - 17h / Mardi, mercredi, jeudi : 9h30 - 12h30 et 14h - 17h / Vendredi : 9h30 - 12h30"
74,63,2,0,"03 86 71 70 80",,,"ddt-anah@nievre.gouv.fr",,"Lundi, mardi, jeudi de 9h à 11h30 et 14h à 16h/ Vendredi de 9h à 11h30","lundi, mardi et jeudi de 9h à 11h30 et 14h-16h le vendredi de 9h à 11h30"
75,64,2,0,"03 85 21 86 00",,,"anah@saone-et-loire.gouv.fr",,"Du lundi au jeudi de 8h30 à 12h et de 13h30 à 17h. Les vendredis et veilles de jours fériés de 8h30 à 12h et de 13h30 à 16h.","Du lundi au jeudi de 9h à 12h et de 14h à 17h. Les vendredis et veilles de jours fériés de 9h à 12h et de 14h à 16h."
76,65,1,0,"03 86 78 79 12",,,"infoenergie@parcdumorvan.org","http://www.parcdumorvan.org","Lundi : 13h-17h - Mardi : 9h-13h - Mercredi : 13h-17h","Lundi : 13h-17h - Mardi : 9h-13h - Mercredi : 13h-17h"
77,66,2,0,"03 80 60 83 15",,,"info@pactcotedor.fr","www.pactcotedor.fr","Les  lundi, mardi, jeudi et vendredi de 8h30 à 12h et de 13h30 à 17h30","Les  lundi, mardi, jeudi et vendredi de 8h30 à 12h et de 13h30 à 17h30"
78,67,3,1,"02 99 78 87 24",,,"adil35.renov-energ@orange-business.fr","www.adil35.org","Du lundi au vendredi de 9h à 13h et de 15h à 16h45 (bureau fermé le jeudi après-midi)","Du lundi au vendredi de 9h à 13h / 15h à 16h45  (fermée le jeudi après-midi)"
79,67,2,1,"02 99 78 87 24",,,"adil35.renov-energ@orange-business.fr","www.adil35.org","Du lundi au vendredi de 9h à 13h et de 15h à 16h45 (bureau fermé le jeudi après-midi)","Du lundi au vendredi de 9h à 13h / 15h à 16h45  (fermée le jeudi après-midi)"
80,68,3,1,"02 96 61 50 46",,,"adil.22@orange.fr","www.adil22.org","Lundi  9h00 - 12h30  - 13h45-18h00 / Mardi  9h00 - 12h30 13h45 - 18h00 / Mercredi  9h00 - 12h30 13h45 - 18h00 / Jeudi  9h00 - 12h30  / Vendredi  9h00 - 12h30 14h15 - 17h45 / - sur rendez-vous du lundi au vendredi.  / - sans rendez-vous uniquement les après-midis, exc","Du lundi au vendredi, de 9h00 à 12h30 "
81,69,3,1,"02 98 46 34 65 ",,,"adil29@adil.org","www.adil29.org","Du lundi au vendredi de 9h à 12h et 13h30 à 17h30 – fermé le jeudi matin","Du lundi au vendredi de 9h à 12h / 13h30 à 17h30 (sauf le jeudi matin)"
82,69,2,1,"02 98 46 34 65",,,"adil29@adil.org","www.adil29.org","Du lundi au vendredi de 9h à 12h et 13h30 à 17h30 – fermé le jeudi matin","Du lundi au vendredi de 9h à 12h / 13h30 à 17h30 (sauf le jeudi matin)"
83,70,3,1,"02 97 47 02 30",,,"adil.56@wanadoo.fr","www.adil56.org","Ouvert au public du lundi au vendredi, de 9h à 12h30 et de 13h30 à 18h.","Du lundi au vendredi de 9h à 12h30 et de 13h30 à 18h"
84,70,2,1,"02 97 47 02 30",,,"adil.56@wanadoo.fr","www.adil56.org","Ouvert au public du lundi au vendredi, de 9h à 12h30 et de 13h30 à 18h.","Du lundi au vendredi de 9h à 12h30 et de 13h30 à 18h"
85,71,1,0,"02 96 52 15 70",,,"info-energie@ale-saint-brieuc.org","http://www.bretagne-energie.fr","Lundi au vendredi, de 13H30 à 17h30","Lundi au vendredi, de 13H30 à 17h30"
86,72,1,0,"02 99 23 65 02",,,"infoenergie@alec-rennes.org","http://www.bretagne-energie.fr","Lundi au vendredi, de 13H30 à 17h30Mardi, vendredi 9h à 12hLes mardi et vendredi après-midi, accueil si visites spontanées","Lundi au vendredi, de 13H30 à 17h30"
87,73,1,0,"02 98 99 10 90",,,"alecob@wanadoo.fr","http://www.bretagne-energie.fr","Lundi au vendredi, de 13H30 à 17h30","Lundi au vendredi, de 13H30 à 17h30"
88,74,1,0,"09 72 37 73 79",,,"infoenergie@aloen.fr","http://www.bretagne-energie.fr","Lundi au vendredi, de 13H30 à 17h30","Lundi au vendredi, de 13H30 à 17h30"
89,75,2,0,"02 96 75 66 45",,,"anah22@cotes-darmor.gouv.fr",,"Du lundi au vendredi de 9h à 11h30 et de 14h à 16h.","Du lundi au vendredi de 9h à 11h30 et de 14h à 16h."
90,76,1,0,"02 98 33 80 97",,,"info.energie@energence.net","http://www.bretagne-energie.fr","Lundi au vendredi, de 13H30 à 17h30","Lundi au vendredi, de 13H30 à 17h30"
91,77,1,0,"02 98 15 55 47",,,"contact@heol-energies.org","http://www.bretagne-energie.fr","Lundi au vendredi, de 13H30 à 17h30","Lundi au vendredi, de 13H30 à 17h30"
92,78,1,0,"09 67 20 06 54",,,"infoenergie@auray-communaute.fr","http://www.bretagne-energie.fr","Semaines impaires, du lundi au vendredi, de 13H30 à 17h30","Du lundi au vendredi, de 13H30 à 17h30"
94,80,1,0,"02 96 87 42 44",,,"infoenergie@pays-de-dinan.org","http://www.bretagne-energie.fr","Lundi au vendredi, de 13H30 à 17h30","Lundi au vendredi, de 13H30 à 17h30"
95,81,1,0,"02 99 17 05 31",,,"infoenergie@pays-fougeres.org","http://www.bretagne-energie.fr","Semaines paires du lundi au vendredi, de 13H30 à 17h30","Du lundi au vendredi, de 13H30 à 17h30"
96,82,1,0,"02 97 74 30 95",,,"eie@paysdeploermel-coeurdebretagne.fr","http://www.bretagne-energie.fr","Semaines impaires, du lundi au vendredi, de 13H30 à 17h30","Du lundi au vendredi, de 13H30 à 17h30"
97,83,1,0,"02 97 27 95 39",,,"infoenergie@pays-pontivy.fr","http://www.bretagne-energie.fr","Semaines paires, du lundi au vendredi, de 13H30 à 17h30","Du lundi au vendredi, de 13H30 à 17h30"
98,84,1,0,"02 99 71 62 36",,,"eie@pays-redon.fr","http://www.bretagne-energie.fr","Semaines paires, du lundi au vendredi, de 13H30 à 17h30","Du lundi au vendredi, de 13H30 à 17h30"
99,85,1,0,"09 65 04 87 37",,,"infoenergie@pays-stmalo.fr","http://www.bretagne-energie.fr","Lundi au vendredi, de 13H30 à 17h30","Lundi au vendredi, de 13H30 à 17h30"
100,86,1,0,"02 97 26 25 25",,,"infoenergie@pays-vannes.fr","http://www.bretagne-energie.fr","Lundi au vendredi, de 13H30 à 17h30","Lundi au vendredi, de 13H30 à 17h30"
101,87,1,0,"02 99 74 32 17",,,"infoenergie@paysdevitre.org","http://www.bretagne-energie.fr","Semaines impaires, du lundi au vendredi, de 13H30 à 17h30","Du lundi au vendredi, de 13H30 à 17h30"
102,88,1,0,"02 97 27 95 39",,,"infoenergie@pays-pontivy.fr","http://www.bretagne-energie.fr","Semaines impaires, du lundi au vendredi, de 13H30 à 17h30","Du lundi au vendredi, de 13H30 à 17h30"
103,89,1,0,"02 96 14 04 63",,,"infoenergie@paystregorgoelo.com","http://www.bretagne-energie.fr","Lundi 13h30 à 17h30, mercredi, jeudi, vendredi 9h à 12h","Du lundi au vendredi, de 13H30 à 17h30."
104,90,1,0,"02 98 64 46 61",,,"infoenergie@quimper-cornouaille-developpement.fr","http://www.bretagne-energie.fr","Lundi au vendredi, de 13H30 à 17h30","Lundi au vendredi, de 13H30 à 17h30"
105,91,3,1,"02 54 27 37 37",,,"renovation@adil36.org","www.adil36.org","du lundi au vendredi 8h45-12h30, 14h-18h","du lundi au vendredi 8h45-12h30, 14h-18h"
106,91,1,0,"02 54 27 37 37",,,"renovation@adil36.org","http://www.infoenergie-centre.org/","du lundi au vendredi 8h45-12h30, 14h-18h","du lundi au vendredi 8h45-12h30, 14h-18h"
107,91,2,1,"02 54 27 37 37",,,"renovation@adil36.org","www.adil36.org","Du lundi au vendredi de 9h à 12h30 / 14h à 18h","Du lundi au vendredi de 9h à 12h30 / 14h à 18h"
108,92,3,1,"02 54 42 10 00",,,"adileie41@wanadoo.fr","www.adil41.org","le lundi mercredi et jeudi de 9h à 12h30 et de 13h45 à 17h30 - le mardi de 13h45 à 17h30 - et le vendredi de 9h à 12h30 et de 13h45 à 17h","le lundi mardi mercredi et jeudi de 9h à 12h30 et de 13h45 à 17h30 et le vendredi de 9h à 12h30 et de 13h45 à 17h"
109,92,1,0,"02 54 42 10 00",,,"loiretcher@infoenergie-centre.org","http://www.infoenergie-centre.org/","le lundi mercredi et jeudi de 9h à 12h30 et de 13h45 à 17h30 - le mardi de 13h45 à 17h30 - et le vendredi de 9h à 12h30 et de 13h45 à 17h","le lundi mardi mercredi et jeudi de 9h à 12h30 et de 13h45 à 17h30 et le vendredi de 9h à 12h30 et de 13h45 à 17h"
110,92,2,1,"02 54 42 10 00",,,"adileie41@wanadoo.fr","www.adil41.org","le lundi mercredi et jeudi de 9h à 12h30 et de 13h45 à 17h30 - le mardi de 13h45 à 17h30 - et le vendredi de 9h à 12h30 et de 13h45 à 17h","le lundi mardi mercredi et jeudi de 9h à 12h30 et de 13h45 à 17h30 et le vendredi de 9h à 12h30 et de 13h45 à 17h"
111,93,3,1,"02 38 62 47 07",,,"adil.eie@adil45.org","www.adil45.org","Lundi au vendredi de  9h à 12h30 et de 14h à 17h30","Lundi au vendredi de  9h à 12h30 et de 14h à 17h30"
112,93,1,0,"02 38 62 47 07",,,"loiret@infoenergie-centre.org","http://www.infoenergie-centre.org/","Lundi au vendredi de  9h à 12h30 et de 14h à 17h30","Lundi au vendredi de  9h à 12h30 et de 14h à 17h30"
113,93,2,1,"02 38 62 47 07",,,"adil.eie@adil45.org","www.adil45.org","Lundi au vendredi de  9h à 12h30 et de 14h à 17h30","Lundi au vendredi de  9h à 12h30 et de 14h à 17h30"
114,94,1,0,"02 47 60 90 70",,,"indreetloire@infoenergie-centre.org","http://www.infoenergie-centre.org/","Lundi, Mardi et Mercredi : 9h-12h30 et 13h30-18h Jeudi : 13h30-18h Vendredi : 9h-12h30 et 13h30-17h","Lundi, Mardi et Mercredi : 9h-12h30 et 13h30-18h Jeudi : 13h30-18h Vendredi : 9h-12h30 et 13h30-17h"
